"","GNIS_NAME","HUC6","temp","RepeatID","Yrange","size","barrier","length","numSpE","pisc","prosper","FHMN","LNDC","CRCH","SDSH","LNSU","WSU","EB","GSUN","CARP","LL","RB","LKCH","BRMN","PLMN","SCAT","SHRH","FHCH","RCSU","CCAT","PLSU"
"32","","101201",20.83,425,19,10.65052201,0,148.488,4,0,0.030987878,1,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"33","Indian Creek","101201",21.63,424,59,1.78893325,0,112.906,5,0,0.600921215,1,1,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","","101800",17.3,423,55,8.52700585,1,25.729,6,0,0.672181814,1,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"35","Pumpkin Creek","100901",21.59,422,25,21.7865502,0,202.753,8,0,0.71774545,1,NA,0,1,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA
"36","Pondera Coulee","100302",21.76,421,23,15.93850217,0,181.177,7,0,0.742866664,1,1,NA,NA,NA,1,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"37","Stinky Creek","100500",18.84,420,13,2.54629709,0,52.793,4,0,0.503818185,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","East Fork Stinky Creek","100500",18.68,419,11,1.82845825,0,15.653,3,0,0.535472731,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Whitetail Creek","100600",20.01,418,9,3.53977447,0,28.287,4,1,0.588896965,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Middle Fork Eagle Creek","100600",19.57,417,11,1.12134808,0,17.389,4,0,0.499618181,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"41","West Charlie Creek","100600",21.61,416,15,22.5496379,0,37.229,5,0,0.631436365,0,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"42","Morgan Creek","101000",20.61,415,12,0.14898044,0,12.581,3,0,0.289648489,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Little Beaver Creek","101102",18.58,414,26,8.26027336,0,179.762,9,1,0.714103034,0,NA,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"44","Assiniboine Creek","100500",19.28,413,13,5.74435084,0,46.189,5,0,0.551642423,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"45","Big Warm Creek","100500",18.94,412,9,1.50306956,0,111.528,1,0,0.601265198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"46","Little Warm Creek","100500",18.41,411,9,0.8287516,1,52.735,2,0,0.557872726,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"47","Porcupine Creek","100500",19.33,410,15,47.68009349,0,73.638,5,0,0.650878785,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Little Porcupine Creek","100600",19.4,409,15,16.81753105,0,99.003,9,0,0.362648486,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"49","Wolf Creek","100600",21,408,16,12.84779787,0,36.127,5,1,0.699375761,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
