RepeatID,GNIS_NAME.x,GearMiss,Gear.x,Gear.y,Party.x,Party.y,Database.x,Database.y,Month.x,Month.y,F_MAUG_HIS.x,GNIS_NAME.y,F_MAUG_HIS.y
249,North Platte River,M,0 | | | | | | | | | | |,| | | | | |,"0 | Lynch, J.D.; Ichthyology Class | Lynch, J.D.; Ichthyology Class | Lynch, J.D.; Ichthyology Class | Lynch, J.D.; Ichthyology Class | Lynch, J.D.; Ichthyology Class | Lynch, J.D.; Ichthyology Class | Lynch, J.D.; Ichthyology Class | Lynch, J.D.; Ichthy","D.C. Werneke, C.K. Ray, M.M. Hayes | D.C. Werneke, C.K. Ray, M.M. Hayes | D.C. Werneke, C.K. Ray, M.M. Hayes | D.C. Werneke, C.K. Ray, M.M. Hayes | D.C. Werneke, C.K. Ray, M.M. Hayes | D.C. Werneke, C.K. Ray, M.M. Hayes | D.C. Werneke, C.K. Ray, M.M. Hay",Global Biodiversity Information Facility USGS Nonindigenous Aquatic Species database | Global Biodiversity Information Facility University of Nebraska State Museum Fish Collection | Global Biodiversity Information Facility University of Nebraska State Mu,Global Biodiversity Information Facility AUM Fish Collection | Global Biodiversity Information Facility AUM Fish Collection | Global Biodiversity Information Facility AUM Fish Collection | Global Biodiversity Information Facility AUM Fish Collection | Gl,7,7,1837.843475,North Platte River,1837.843475
219,North Platte River,M,0 | | | | | | | | | | | 0,0 | 0 | 0 | 0 | 0 | 0,JR Simon | JR Simon | JR Simon | JR Simon | JR Simon | JR Simon | JR Simon | JR Simon | JR Simon | JR Simon | JR Simon | JR Simon,0 | 0 | 0 | 0 | 0 | 0,"Global Biodiversity Information Facility University of Michigan Museum of Zoology, Division of Fishes | Global Biodiversity Information Facility University of Michigan Museum of Zoology, Division of Fishes | Global Biodiversity Information Facility Unive",Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | Wyoming Game & Fish Dept,10,4,1627.497349,North Platte River,1627.60157
118,Green River,M,0 | | | |,0 | 0,Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter,0 | Gelwicks,Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers,Wyoming Game & Fish Dept | WGFD(Gelwicks),8,4,1296.982195,Green River,1296.983965
122,Green River,M,0 | 0,0 | 0 | 0,0 | Gelwicks,0 | Gelwicks | Gelwicks,Wyoming Game & Fish Dept | WGFD(Gelwicks),Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks),4,6,1286.735938,Green River,1286.767198
121,Green River,,0 | 0 | 0,0 | 0 | 0 | 0,0 | 0 | Gelwicks,0 | Gelwicks | Gelwicks | Gelwicks,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks),Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks) | WGFD(Gelwicks),5,6,1286.26819,Green River,1285.822089
221,North Platte River,M,0 | 0 | 0 | 0 | 0 | 0,0,"Gould, W.; White, R.; Dwyer, P. | Gould, W.; White, R.; Dwyer, P. | Gould, W.; White, R.; Dwyer, P. | Gould, W.; White, R.; Dwyer, P. | Gould, W.; White, R.; Dwyer, P. | Gould, W.; White, R.; Dwyer, P.",0,Global Biodiversity Information Facility Bell Museum fishes | Global Biodiversity Information Facility Bell Museum fishes | Global Biodiversity Information Facility Bell Museum fishes | Global Biodiversity Information Facility Bell Museum fishes | Global,Wyoming Game & Fish Dept,9,3,1245.157907,North Platte River,1623.095285
242,North Platte River,M,E/S,0 | 0,Patton 1998,0 | 0,Kirk 2020,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept,0,4,1236.120587,North Platte River,1236.120587
248,North Platte River,M,| | | | |,0 | 0,Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter | Collector(s): George T. Baxter,0 | 0,Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodiversity Information Facility University of Wyoming Museum of Vertebrates (UWYMV) Fish specimens (Arctos) | Global Biodivers,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept,8,9,1203.108889,North Platte River,1203.082809
120,Green River,,0 | 0 | 0,0 | 0 | 0 | 0,0 | 0 | Gelwicks,0 | Gelwicks | Gelwicks | Gelwicks,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks),Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks) | WGFD(Gelwicks),5,5,1199.837711,Green River,1199.749735
139,Green River,,0 | 0 | 0,0 | 0 | 0 | 0,0 | 0 | Gelwicks,0 | Gelwicks | Gelwicks | Gelwicks,Wyoming Game & Fish Dept | Wyoming Game & Fish Dept | WGFD(Gelwicks),Wyoming Game & Fish Dept | WGFD(Gelwicks) | WGFD(Gelwicks) | WGFD(Gelwicks),10,5,1185.26039,Green River,1185.267546
