GNIS_NAME,RepeatID,pNat,pComm,nClnzSp,rGlac,Turnovr,huc6
12345 FID00756398 Missouri River,45,0.727272727,0.666666667,0,0.5,0.333333333,100301
Sun River,14,0.75,0.714285714,1,0.5,0.375,100301
Sun River,15,0.001,0.166666667,2,0.333333333,0.875,100301
Sun River,16,0.999,0.666666667,3,0.999,0.666666667,100301
Belt Creek,62,0.125,0.3,0,0.25,0.7,100301
Cottonwood Creek,353,0,0.001,1,0.999,0.999,100302
Eagle Creek,356,0.001,0.001,0,0.001,0.999,100302
,250,0.333333333,0.333333333,2,0.333333333,0.75,101800
Morgan Creek,415,0.5,0.333333333,1,0.999,0.75,101800
,423,0.666666667,0.666666667,1,0.6,0.428571429,101800
,222,0.999,0.999,0,0.999,0.001,101800
,228,0.75,0.666666667,0,0.666666667,0.333333333,101900
,232,0.999,0.833333333,1,0.999,0.285714286,101900
,231,0.428571429,0.428571429,0,0.333333333,0.571428571,101900
,253,0.333333333,0.285714286,2,0.001,0.777777778,140401
,298,0.001,0.001,3,0.5,0.999,101201
,256,0.999,0.999,0,0,0.001,101202
,257,0.999,0.999,2,0.999,0.285714286,100800
Big Coulee,399,0.001,0.001,3,0.75,0.999,100301
Pondera Coulee,421,0.999,0.857142857,1,0.999,0.25,100302
,395,0.001,0.001,1,0.5,0.999,100302
,448,0.555555556,0.6,2,0.571428571,0.5,100500
West Charlie Creek,416,0.001,0.001,1,0.001,0.999,100600
Middle Fork Eagle Creek,417,0.5,0.5,0,0.5,0.5,100600
