GNIS_NAME,RepeatID,pNat,pComm,nClnzSp,rGlac,Turnovr,huc6
North Muddy Creek,380,0.001,0.001,0,0.001,0.999,140401
South Piney Creek,325,0.001,0.25,2,0.5,0.833333333,140401
South Piney Creek,284,0.5,0.5,1,0.999,0.6,140401
Chall Creek,73,0.5,0.5,2,0.333333333,0.666666667,140401
Tosi Creek,11,0.999,0.75,0,0.999,0.25,140401
New Fork River,210,0.5,0.25,7,0.666666667,0.909090909,140401
Spring Creek,1,0.999,0.999,0,0.999,0.001,140401
Willow Creek,24,0.5,0.333333333,4,0.666666667,0.857142857,140401
Pine Creek,254,0.001,0.5,2,0.001,0.625,140401
Duck Creek,105,0.666666667,0.6,1,0.666666667,0.5,140401
Green River,118,0.333333333,0.2,8,0.001,0.923076923,140401
Green River,122,0.001,0.4,4,0.999,0.777777778,140401
North Fork Slate Creek,239,0.999,0.75,0,0.999,0.25,140401
Green River,139,0.001,0.2,6,0,0.909090909,140401
Green River,121,0.001,0.75,6,0.999,0.7,140401
Green River,120,0.999,0.999,6,0.999,0.545454545,140401
Green River,116,0.25,0.571428571,4,0.5,0.636363636,140401
Green River,117,0.2,0.333333333,5,0.333333333,0.785714286,140401
Big Sandy River,70,0.333333333,0.333333333,4,0.333333333,0.75,140401
Jack Morrow Creek,366,0.001,0.75,2,0.001,0.5,140401
Pacific Creek,382,0.5,0.5,0,0.5,0.5,140401
Little Sandy Creek,373,0.5,0.625,1,0.5,0.444444444,140401
Bitter Creek,54,0.999,0.8,1,0.999,0.333333333,140401
Bitter Creek,53,0.001,0.001,3,0.001,0.999,140401
Little Bitter Creek,370,0.001,0.001,0,0.001,0.999,140401
Bitter Creek,343,0.666666667,0.666666667,0,0.999,0.333333333,140401
Gap Creek,392,0.5,0.5,0,0.5,0.5,140401
Sage Creek,389,0.5,0.5,0,0.999,0.5,140401
Henrys Fork,154,0.999,0.8,3,0.999,0.5,140401
Blacks Fork,58,0.4,0.5,3,0.5,0.615384615,140401
Blacks Fork,57,0.6,0.727272727,1,0.999,0.333333333,140401
Blacks Fork,59,0.333333333,0.333333333,5,0.666666667,0.875,140401
Blacks Fork,84,0.999,0.636363636,1,0.999,0.416666667,140401
Blacks Fork,86,0.333333333,0.2,2,0.001,0.833333333,140401
Blacks Fork,81,0.75,0.75,5,0.999,0.666666667,140401
Hams Fork,144,0.5,0.555555556,3,0.666666667,0.583333333,140401
Hams Fork,143,0.666666667,0.666666667,8,0.999,0.818181818,140401
Hams Fork,153,0.999,0.857142857,5,0.999,0.5,140401
Hams Fork,145,0.666666667,0.666666667,5,0.999,0.75,140401
Hams Fork,146,0.6,0.666666667,3,0.666666667,0.555555556,140401
Hams Fork,142,0.5,0.666666667,3,0.666666667,0.5,140401
Willow Creek,25,0.5,0.625,1,0.666666667,0.444444444,140401
Blacks Fork,77,0.999,0.875,1,0.999,0.222222222,140401
Blacks Fork,83,0.999,0.9,1,0.999,0.181818182,140401
Blacks Fork,85,0.5,0.2,3,0.5,0.875,140401
Blacks Fork,76,0.999,0.999,5,0.999,0.555555556,140401
Blacks Fork,78,0.5,0.333333333,1,0.001,0.714285714,140401
Blacks Fork,80,0.666666667,0.75,3,0.999,0.571428571,140401
Blacks Fork,79,0.5,0.625,3,0.999,0.545454545,140401
Blacks Fork,87,0.25,0.4,3,0.333333333,0.75,140401
Blacks Fork,75,0.999,0.999,0,0.999,0.001,140401
