rid,pid,GNIS_NA,HUC6,STATE,OBSPRED,TAILWAT,ELEV,CANOPY,SLOPE,PRECIP,CUMDRAI,Y_COORD,NLCD11P,BFI,temp,S30_204,S32_208,RepetID,Yrange,size,F_BFI_H,barrier,length,numSpE,rchChng,NativNt,pNat,pComm,prsGlcE,prsGlcL,pisc,nClnzSp,FHMN,LNDC,CRCH,PKF,SDSH,LNSU,WSU,EB,CMSH,STR,JDT,BRSB,SMB,GSUN,CARP,YP,LL,PTMN,RB,LMB,MWF,NRBDC,LKCH,BRMN,IOWA,BLBH,NP,WSMN,PLMN,SCAT,SHRH,NPDC,WHCR,RKB,GSH,FHCH,SGR,WE,RCSU,PUMP,CCAT,RMCOT,PLSU,WS_PLMN,GE,ONC,SPSH,SPDC,MTSU,RMCT,RSSH,COLCOT,EMSH,HYBOG,BMSH,BHSU,FMSU,FMxWSU,DRUM,SMBUF,BMBUF,ODT,BLCR,FSDC,HHCH,GDF,BG,RDSH,GAM,GZS,TGT,YLBH,STCH,GILA,LING,QBK,SPK,LSCH,WCT,RTCH,SSTRG,LWF,WBS,SFCH,PSTRG,BSU,CIS,PF,GR,SMMN,BHxWSU,KOK,LT,snapdst,PU,rGlac,rPeri,rPela,rMont,GearMiss,ratio,snapdist,upDist,afvArea,locID,netID,netgeom,prosper,YrangeCat,pGlac,pNotGlac,pGlacRel,pNotGlacRel,pIntroduced,Turnover,geometry,FragCat,TempCat,
9316,295,Musselshell River,1.004,Montana,109356,0,1411.48,23.86,0.0028,343.9418,1401.78,1819571,0.061,65,15.67,16.45,17.08,207,40,2.023139308,0.46527777,0,14.848,5,-1,0,0.666666667,0.4,0.666666667,NA,1,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056331088,UPMO,0.666666667,0.999,NA,NA,,0.524409005,0,1003969.78,0.00852637,292,6,SNETWORK (6 9316 1003969.78007437 0.524409005338981 295 292),0.973296976,XL,0.666666667,NA,0.001,1,0,0.714285714,c(-1091942.00171505, 2690610.70224269),Smaller (<62 km),Cool
9373,297,Musselshell River,1.004,Montana,154441,0,856.38,0.1794872,0.00136849,374.833,12541.67,1850644,0.079,40,22.04,23.31,24.64,208,42,9.289666192,0.55186794,0,231.649,3,2,1,0.5,0.333333333,0.5,NA,1,4,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018682827,UPMO,0.999,0.5,NA,NA,,0.040536969,1.16415321826935e-10,655684.6578,0.022881051,294,6,SNETWORK (6 9373 655684.657820522 0.040536969490505 297 294),0.72306667,XL,0.5,NA,NA,0.5,0,0.857142857,c(-905725.341456834, 2684873.21060258),Large (>62 km),Warm
9421,298,Musselshell River,1.004,Montana,144337,0,966.13,1.341463,0.00121367,338.304,10442.58,1824889,0.094,56,21.54,22.8,24.11,204,42,8.886952847,0.54053833,1,33.013,8,-3,-2,0.5,0.5,0.6,0.001,0,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023666046,UPMO,0.001,0.5,0.001,NA,,0.645345095,0,766366.7421,0.022881051,295,6,SNETWORK (6 9421 766366.742135344 0.645345094550304 298 295),0.721600002,XL,0.6,0,0.001,0.6,0.5,0.555555556,c(-961343.608683641, 2669770.53002973),Smaller (<62 km),Warm
9530,302,North Fork McDonald Creek,1.004,Montana,172314,0,1284.14,7.405405,0.01424552,477.775,20.8368,1889402,0,58,16.37,17.47,18.63,236,14,0.012411785,0.7402579,1,20.878,5,-2,-2,0.4,0.4,0.4,NA,0,1,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006437558,UPMO,0.6,0.999,NA,NA,,0.513575715,0,792610.298,0.001211394,298,6,SNETWORK (6 9530 792610.297988185 0.513575714670441 302 298),0.80366666,S,0.4,NA,0.001,0.5,NA,0.666666667,c(-1004732.73232085, 2744163.05366091),Smaller (<62 km),Cool
6983,234,Tongue River,1.009,Wyoming,165442,0,1078.12,28,0.00274,359.4731,2325.92,1667696,0,64,18.34,19.43,20.3,12,44,4.964587052,0.11130446,0,35.04,12,-3,-3,0.375,0.416666667,0.428571429,0.001,1,4,NA,0,NA,NA,0,1,1,NA,NA,NA,NA,NA,1,NA,NA,0,1,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,1,NA,0,1,NA,0,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025510982,YELL,0.25,0.999,0.001,NA,M,0.259709143,0,670909.6977,0.019247731,232,6,SNETWORK (6 6983 670909.697745564 0.25970914307766 234 232),0.832054548,XL,0.428571429,0,0.001,0.5,0.5,0.6875,c(-860437.991987704, 2489130.67581821),Smaller (<62 km),Cool
7023,235,South Tongue River,1.009,Wyoming,158719,0,2340.25,69.79,0.00638,596.1049,199.55,1645141,0,66,10.6,11.51,12.24,282,21,1.27782143,0.11192548,0,15.283,5,0,0,0.5,0.8,0.5,NA,1,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007674011,YELL,0.5,0.001,NA,NA,M,0.774698947,1.16415321826935e-10,754293.5165,0.01041305,233,6,SNETWORK (6 7023 754293.5165379 0.774698946859061 235 233),0.827387878,M,0.5,NA,0.999,0,1,0.333333333,c(-904156.290498328, 2474865.62695112),Smaller (<62 km),Cold
7028,237,Prairie Dog Creek,1.009,Wyoming,167110,0,1058.97,5.05,0.00124,343.3273,935.58,1672581,0,60,19.14,20.25,21.12,271,13,0.401607025,0.16943734,0,45.667,9,1,-1,0.571428571,0.666666667,0.5,0.999,1,4,0,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010418085,YELL,0.5,0.999,0.001,NA,M,0.415720944,1.16415321826935e-10,649504.0005,0.006387604,235,6,SNETWORK (6 7028 649504.000454497 0.415720944071676 237 235),0.677205106,S,0.5,1,0.001,0.666666667,1,0.538461538,c(-851594.632051531, 2492159.850398),Smaller (<62 km),Cool
7044,238,Tongue River,1.009,Montana,145850,0,730.35,1.15,0.00082996,336.318,13899.07,1828929,0.078,20,22.4,23.68,25.02,10,21,9.370715798,0.14656043,0,334.752,13,-10,-9,0.090909091,0.076923077,0.125,0.001,1,2,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017098412,YELL,0.999,0.333333333,0.001,NA,,0.48782796,0,316100.934,0.037767829,236,6,SNETWORK (6 7044 316100.933998168 0.487827960130229 238 236),0.737224241,M,0.125,0,NA,0.090909091,0,0.933333333,c(-753540.959757291, 2631428.06962706),Large (>62 km),Warm
7291,245,Powder River,1.009,Wyoming,162487,0,1085.43,7.05,0.00123,363.0625,16425.34,1660630,0,50,21.18,22.33,23.24,262,34,7.493009525,0.16129247,0,682.695,3,7,6,0.666666667,0.666666667,0.999,0.001,1,8,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001637093,YELL,0.999,0.999,0.5,NA,,0.214811321,1.16415321826935e-10,631000.0355,0.055985503,243,6,SNETWORK (6 7291 631000.035451742 0.2148113205618 245 243),0.806957572,XL,1,0,NA,0.666666667,NA,0.818181818,c(-794403.138722299, 2467877.53430872),Large (>62 km),Warm
7303,246,Powder River,1.009,Wyoming,157479,0,1108.59,0,5e-05,360.2104,15325.88,1641152,0,51,20.7,21.84,22.75,270,53,7.008411315,0.1600143,0,682.695,5,2,2,0.999,0.999,0.999,0.999,0,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007184492,YELL,NA,0.999,0.999,NA,M,0.508552914,1.16415321826935e-10,664060.9369,0.055985503,244,6,SNETWORK (6 7303 664060.936900712 0.508552914300117 246 244),0.764648483,XL,1,1,NA,1,NA,0.285714286,c(-800330.335422909, 2449495.30650646),Large (>62 km),Warm
