"","formula","predictors","n_predictors","model_type","loocv_score","AIC","delta_loocv","delta_AIC"
"108","pCol ~ barrier + length + prosper + crop","barrier,length,prosper,crop",4,"additive",0.0811500698479054,331.133422732487,0.0145941819126752,24.777153583571
"82","pCol ~ size + prosper + crop","size,prosper,crop",3,"additive",0.0813434502547544,329.764944605812,0.0147875623195241,23.4086754568962
"121","pCol ~ temp * barrier * size * prosper * crop","temp,barrier,size,prosper,crop",5,"full_interactions",0.0813633841736726,353.052954676327,0.0148074962384424,46.6966855274114
"40","pCol ~ size + crop","size,crop",2,"additive",0.0814337703845773,328.562448661135,0.014877882449347,22.2061795122195
"79","pCol ~ length * size * crop","length,size,crop",3,"full_interactions",0.0815261214010395,334.33053560831,0.0149702334658092,27.9742664593938
"110","pCol ~ barrier + size + prosper + crop","barrier,size,prosper,crop",4,"additive",0.0816886375866058,331.798021210178,0.0151327496513756,25.441752061262
"72","pCol ~ barrier + size + crop","barrier,size,crop",3,"additive",0.0816945401604025,330.53830299225,0.0151386522251723,24.1820338433338
"81","pCol ~ length * prosper * crop","length,prosper,crop",3,"full_interactions",0.081729430634926,335.423675951112,0.0151735426996958,29.0674068021964
"73","pCol ~ barrier * size * crop","barrier,size,crop",3,"full_interactions",0.0818479874973701,334.363977720764,0.0152920995621399,28.007708571848
"69","pCol ~ barrier * length * crop","barrier,length,crop",3,"full_interactions",0.0820440758577622,336.632877794679,0.015488187922532,30.2766086457629
"41","pCol ~ size * crop","size,crop",2,"full_interactions",0.0821309929190426,330.64372360438,0.0155751049838124,24.2874544554646
"12","pCol ~ crop","crop",1,"additive",0.0823435740048229,329.028693040169,0.0157876860695927,22.6724238912531
"13","pCol ~ crop","crop",1,"full_interactions",0.0823435740048229,329.028693040169,0.0157876860695927,22.6724238912531
"42","pCol ~ prosper + crop","prosper,crop",2,"additive",0.082539904832121,330.596204213599,0.0159840168968907,24.2399350646827
"123","pCol ~ temp * length * size * prosper * crop","temp,length,size,prosper,crop",5,"full_interactions",0.0826157686532414,358.759955608184,0.0160598807180111,52.403686459268
"107","pCol ~ barrier * length * size * crop","barrier,length,size,crop",4,"full_interactions",0.0826620590755305,346.236725476798,0.0161061711403003,39.8804563278826
"43","pCol ~ prosper * crop","prosper,crop",2,"full_interactions",0.0827080734791296,331.543848474406,0.0161521855438993,25.1875793254903
"30","pCol ~ barrier + crop","barrier,crop",2,"additive",0.0828304435728454,331.127516672279,0.0162745556376152,24.7712475233631
"32","pCol ~ length + size","length,size",2,"additive",0.0828755846997385,334.823510336047,0.0163196967645083,28.4672411871315
"76","pCol ~ length + size + prosper","length,size,prosper",3,"additive",0.0829007779173524,336.439218650158,0.0163448899821221,30.0829495012421
"74","pCol ~ barrier + prosper + crop","barrier,prosper,crop",3,"additive",0.083055816664174,332.671342802112,0.0164999287289438,26.3150736531964
