CommonName,SciName,Code,a,b,lw_Source,Status,TrophicGuild,FeedingGuild,ReproductiveGuild,Thermal,SimpleThermal,HabitatGuild,Glacial,Notes
Mountain Whitefish,Prosopium williamsoni,MWF,-5.226,3.079,Ecklebecker et al. 2023,Native,,,,,,,E,
Northern Pearl Dace,Margariscus nachtriebi,NPDC,,,,Native,,,,,,,E,
Northern Pike,Esox lucius,NP,-5.618,3.158,Ecklebecker et al. 2023,Introduced,C,WC,PH,,Cool,General,,therm based on educated guess
Northern Pikeminnow,Ptychocheilus oregonensis,NPMN,-5.63,3.227,Ecklebecker et al. 2023,Native,,,,,,,,
Northern Plains Killifish,Fundulus kansae,PKF,-5.5659,3.326,Topminnow from Schneider,Mixed,IN,G,BH,,Warm,Lotic,L,
Northern Redbelly Dace,Chrosomus eos,NRBDC,-5,3,,Native,O,WC,PH,Cool,Cool,General,E,
Orangethroat Darter,Etheostoma spectabile,ODT,-5.404,3.198,JDT from Schneider et al. 2000,Native,IN,B,BH,,Cool,Lotic,L,therm based on farless and brewer 2017 FWS
Paddlefish,Polyodon spathula,PF,-7.01,3.732,Ecklebecker et al. 2023,Native,IN,WC,LP,,,,L,
Pallid Sturgeon,Scaphirhynchus albus,PSTRG,-6.397,3.329,Ecklebecker et al. 2023,Native,,,,,,,L,
Plains Minnow,Hybognathus placitus,PLMN,-5,3,,Native,H,B,PB,,,,L,
Plains Sucker,Pantosteus jordani,PLSU,-4.633,3.015,Ecklebecker et al. 2023,Native,H,B,LO,Cool,Cool,Lotic,E,
Plains Topminnow,Fundulus sciadicus,PTMN,-5.5659,3.326,Schneider et al. 2000 for Blackstripe Topminnow,Mixed,IN,WC,PH,Warm,Warm,Lotic,L,
Pumpkinseed,Lepomis gibbosus,PUMP,-4.998,3.157,Ecklebecker et al. 2023,Introduced,IC,G,GU,Warm,Warm,Lotic,,
Quillback,Carpiodes carpiodes,QBK,-5.16059,3.09633,Schneider et al. 2000,Native,,,,,,,L,
Rainbow Trout,Oncorhynchus mykiss,RB,-4.841,2.939,Ecklebecker et al. 2023,Introduced,IC,G,BH,Cold-Cool,Cold,Lotic,,
Red Shiner,Cyprinella lutrensis,RDSH,,,,Mixed,,,,,,,L,
Redside Shiner,Richardsonius balteatus,RSSH,-5.864,3.416,Ecklebecker et al. 2023,Introduced,,,,,,,,
River Carpsucker,Carpiodes carpio,RCSU,-5.134,3.102,Ecklebecker et al. 2023,Native,O,B,PH,,Warm,General,L,
Rocky Mountain Sculpin,Cottus bondi,RMCOT,-5.012,3.015,Ecklebecker et al. 2023,Native,,,,,,,E,
Roundtail Chub,,RTCH,,,,Native,,,,,,,L,
Sand Shiner,Miniellus stramineus,SDSH,-5.03363,2.98913,Used spottail shiner from Schneider,Native,O,G,LO,Cool-Warm,Warm,Lotic,L,
Sauger,Sander canadensis,SGR,-5.606,3.195,Ecklebecker et al. 2023,Native,IC,G,LP,,,,E,
Shorthead Redhorse,Moxostoma macrolepidotum,SHRH,-4.964,2.999,Ecklebecker et al. 2023,Native,IN,B,LO,,Warm,Lotic,E,
Shortnose Gar,Lepisosteus platostomus,GAR,-5.4039,2.9811,Schneider et al. 2000,Native,,,,,,,L,
Sicklefin Chub,,SFCH,,,,Native,,,,,,,L,
Smallmouth Bass,Micropterus dolomieu,SMB,-5.302,3.192,Ecklebecker et al. 2023,Introduced,IC,G,GU,,,,,
Smallmouth Buffalo,Ictiobus bubalus,SMBUF,-4.621,2.933,Ecklebecker et al. 2023,Native,O,B,PH,,,,L,
Speckled Dace,,SPDC,,,,Native,,,,,,,E,
