"","Species","net","sites","EarlyNum","LateNum","propChange","Status","Glacial"
"94","PF",NA,NA,NA,NA,NA,"Native","L"
"95","NPMN",NA,NA,NA,NA,NA,"Native",""
"96","BULL",NA,NA,NA,NA,NA,"Native",""
"97","LT",NA,NA,NA,NA,NA,"Introduced",""
"98","PSTRG",NA,NA,NA,NA,NA,"Native","L"
"99","GR",NA,NA,NA,NA,NA,"Native","E"
"100","COLCOT",NA,NA,NA,NA,NA,"Native","E"
"101","FMxBHSU",NA,NA,NA,NA,NA,"Native","L"
"102","SFCH",NA,NA,NA,NA,NA,"Native","L"
"103","WBS",NA,NA,NA,NA,NA,"Introduced",""
"104","SSTRG",NA,NA,NA,NA,NA,"Native","L"
"105","GAM",NA,NA,NA,NA,NA,"Introduced",""
