"","huc6","mpNat","mTurn","mColo","mrGlac"
"1","100200",0.473484848466667,0.577260317466667,1.13333333333333,0.6552222222
"2","100401",0.409777777722222,0.732200096055556,4.22222222222222,0.456481481444444
"3","100402",0.4618055555625,0.630289634875,1.75,0.475
"4","100500",0.51096111115,0.6249992063,2.45,0.7007904762
"5","100600",0.4059330808125,0.7175704365,4,0.4209583333125
"6","100700",0.397319347384615,0.649076216230769,3.30769230769231,0.451128205153846
"7","100800",0.509571428586207,0.605180321517241,2.48275862068966,0.531505747103448
"8","100901",0.425333694083333,0.730916106916667,3,0.66902777775
"9","100902",0.542486749774194,0.662953872225806,3.45161290322581,0.532129032225806
"10","101000",0.3689375000625,0.740742661875,3,0.3959583333125
"11","101102",0.451465201461538,0.718504495538462,2.23076923076923,0.498717948692308
"12","101201",0.577638888861111,0.556737293555556,1.86111111111111,0.679787037083333
"13","101202",0.582918650875,0.488401455,1.375,0.593625000083333
"14","101800",0.736048711347826,0.473325561,3,0.819681159434783
"15","101900",0.721047619045455,0.494483339818182,2.81818181818182,0.798742424318182
"16","140401",0.542449328461538,0.58715833875641,2.33333333333333,0.651388888910256
"17","140500",0.531370370444444,0.583413500111111,2.22222222222222,0.647814814777778
