RepeatID,Ecoregion,Pubasin
226,GREAT PLAINS,YELL
263,GREAT PLAINS,YELL
264,GREAT PLAINS,YELL
265,GREAT PLAINS,YELL
230,GREAT PLAINS,YELL
429,GREAT PLAINS,YELL
324,GREAT PLAINS,YELL
430,GREAT PLAINS,YELL
92,GREAT PLAINS,YELL
104,GREAT PLAINS,YELL
103,GREAT PLAINS,YELL
266,GREAT PLAINS,YELL
267,GREAT PLAINS,YELL
268,GREAT PLAINS,YELL
269,GREAT PLAINS,YELL
431,GREAT PLAINS,YELL
434,GREAT PLAINS,YELL
167,GREAT PLAINS,YELL
165,GREAT PLAINS,YELL
166,GREAT PLAINS,YELL
93,GREAT PLAINS,YELL
274,GREAT PLAINS,YELL
22,GREAT PLAINS,YELL
23,GREAT PLAINS,YELL
436,GREAT PLAINS,YELL
358,GREAT PLAINS,YELL
433,GREAT PLAINS,YELL
335,GREAT PLAINS,YELL
432,GREAT PLAINS,YELL
349,GREAT PLAINS,YELL
405,GREAT PLAINS,YELL
345,GREAT PLAINS,YELL
381,GREAT PLAINS,YELL
47,GREAT PLAINS,UPMO
277,GREAT PLAINS,UPMO
397,GREAT PLAINS,UPMO
44,NORTHWESTERN FORESTED MOUNTAINS,UPMO
252,GREAT PLAINS,UPMO
360,GREAT PLAINS,UPMO
341,GREAT PLAINS,UPMO
378,GREAT PLAINS,UPMO
368,GREAT PLAINS,UPMO
346,GREAT PLAINS,UPMO
330,GREAT PLAINS,UPMO
400,GREAT PLAINS,UPMO
396,GREAT PLAINS,UPMO
233,GREAT PLAINS,UPMO
207,GREAT PLAINS,UPMO
363,GREAT PLAINS,UPMO
208,GREAT PLAINS,UPMO
204,GREAT PLAINS,UPMO
402,GREAT PLAINS,UPMO
438,GREAT PLAINS,UPMO
401,GREAT PLAINS,UPMO
236,GREAT PLAINS,UPMO
391,GREAT PLAINS,UPMO
387,GREAT PLAINS,UPMO
413,GREAT PLAINS,UPMO
439,GREAT PLAINS,UPMO
99,GREAT PLAINS,UPMO
404,GREAT PLAINS,UPMO
403,GREAT PLAINS,UPMO
420,GREAT PLAINS,UPMO
419,GREAT PLAINS,UPMO
347,GREAT PLAINS,UPMO
336,GREAT PLAINS,UPMO
357,GREAT PLAINS,UPMO
449,GREAT PLAINS,UPMO
339,GREAT PLAINS,UPMO
450,GREAT PLAINS,UPMO
412,GREAT PLAINS,UPMO
411,GREAT PLAINS,UPMO
375,GREAT PLAINS,UPMO
331,GREAT PLAINS,UPMO
354,GREAT PLAINS,UPMO
410,GREAT PLAINS,UPMO
408,GREAT PLAINS,UPMO
409,GREAT PLAINS,UPMO
385,GREAT PLAINS,UPMO
348,GREAT PLAINS,UPMO
447,GREAT PLAINS,UPMO
407,GREAT PLAINS,UPMO
446,GREAT PLAINS,UPMO
418,GREAT PLAINS,UPMO
106,GREAT PLAINS,UPMO
445,GREAT PLAINS,UPMO
406,GREAT PLAINS,UPMO
14,GREAT PLAINS,UPMO
15,GREAT PLAINS,UPMO
16,GREAT PLAINS,UPMO
62,GREAT PLAINS,UPMO
353,GREAT PLAINS,UPMO
356,GREAT PLAINS,UPMO
250,NORTH AMERICAN DESERTS,PLAT
415,GREAT PLAINS,PLAT
423,NORTH AMERICAN DESERTS,PLAT
222,NORTHWESTERN FORESTED MOUNTAINS,PLAT
228,GREAT PLAINS,PLAT
232,GREAT PLAINS,PLAT
231,GREAT PLAINS,PLAT
253,NORTH AMERICAN DESERTS,GREEN
298,NORTHWESTERN FORESTED MOUNTAINS,CHEY
256,NORTHWESTERN FORESTED MOUNTAINS,CHEY
257,NORTH AMERICAN DESERTS,YELL
399,GREAT PLAINS,UPMO
421,GREAT PLAINS,UPMO
395,GREAT PLAINS,UPMO
448,GREAT PLAINS,UPMO
416,GREAT PLAINS,UPMO
417,GREAT PLAINS,UPMO
