"","formula","predictors","n_predictors","model_type","loocv_score","AIC","delta_loocv","delta_AIC"
"36","Turnover ~ length + crop","length,crop",2,"additive",0.060701390587397,367.777374917166,0.0130352060639007,32.9442581142304
"37","Turnover ~ length * crop","length,crop",2,"full_interactions",0.0607352901260307,369.684089569033,0.0130691056025344,34.8509727660968
"81","Turnover ~ length * prosper * crop","length,prosper,crop",3,"full_interactions",0.0607733240981885,375.000886363809,0.0131071395746922,40.1677695608732
"68","Turnover ~ barrier + length + crop","barrier,length,crop",3,"additive",0.0608288264905846,369.69983880493,0.0131626419670883,34.8667220019939
"78","Turnover ~ length + size + crop","length,size,crop",3,"additive",0.0608827256005859,368.706546763658,0.0132165410770896,33.8734299607215
"106","Turnover ~ barrier + length + size + crop","barrier,length,size,crop",4,"additive",0.060892036912083,370.021346257514,0.0132258523885867,35.1882294545782
"110","Turnover ~ barrier + size + prosper + crop","barrier,size,prosper,crop",4,"additive",0.0608934005757342,370.667673234942,0.0132272160522379,35.8345564320061
"82","Turnover ~ size + prosper + crop","size,prosper,crop",3,"additive",0.0610273508190763,369.940746158254,0.01336116629558,35.1076293553176
"72","Turnover ~ barrier + size + crop","barrier,size,crop",3,"additive",0.0610707565885305,370.351828719174,0.0134045720650342,35.5187119162383
"42","Turnover ~ prosper + crop","prosper,crop",2,"additive",0.0611629458352226,370.985969177068,0.0134967613117263,36.1528523741318
"74","Turnover ~ barrier + prosper + crop","barrier,prosper,crop",3,"additive",0.0612028219928527,372.486327597035,0.0135366374693564,37.653210794099
"30","Turnover ~ barrier + crop","barrier,crop",2,"additive",0.0612635227347161,371.642293234815,0.0135973382112198,36.8091764318788
"43","Turnover ~ prosper * crop","prosper,crop",2,"full_interactions",0.0613024325775309,372.547086450954,0.0136362480540346,37.7139696480177
"12","Turnover ~ crop","crop",1,"additive",0.0613647073749728,370.418586579815,0.0136985228514765,35.5854697768788
"13","Turnover ~ crop","crop",1,"full_interactions",0.0613647073749728,370.418586579815,0.0136985228514765,35.5854697768788
"40","Turnover ~ size + crop","size,crop",2,"additive",0.0613661472415213,370.038791008846,0.013699962718025,35.2056742059104
"69","Turnover ~ barrier * length * crop","barrier,length,crop",3,"full_interactions",0.0615096816311448,376.422048062634,0.0138434971076485,41.5889312596975
"31","Turnover ~ barrier * crop","barrier,crop",2,"full_interactions",0.0615420422386707,373.360176999691,0.0138758577151744,38.5270601967546
"79","Turnover ~ length * size * crop","length,size,crop",3,"full_interactions",0.0620992844960897,375.886791899169,0.0144330999725934,41.0536750962326
"41","Turnover ~ size * crop","size,crop",2,"full_interactions",0.0621605391113581,371.479843863662,0.0144943545878618,36.6467270607255
"75","Turnover ~ barrier * prosper * crop","barrier,prosper,crop",3,"full_interactions",0.0624502113038214,379.874580835862,0.0147840267803251,45.0414640329257
"73","Turnover ~ barrier * size * crop","barrier,size,crop",3,"full_interactions",0.0627194133553779,376.3387217808,0.0150532288318816,41.5056049778639
"83","Turnover ~ size * prosper * crop","size,prosper,crop",3,"full_interactions",0.0631524602836186,376.851030566835,0.0154862757601223,42.0179137638993
"109","Turnover ~ barrier * length * prosper * crop","barrier,length,prosper,crop",4,"full_interactions",0.063276420711024,388.473149694429,0.0156102361875277,53.6400328914928
"113","Turnover ~ length * size * prosper * crop","length,size,prosper,crop",4,"full_interactions",0.0641638490420983,387.753561612442,0.016497664518602,52.920444809506
"107","Turnover ~ barrier * length * size * crop","barrier,length,size,crop",4,"full_interactions",0.0651107587051254,388.412710795406,0.0174445741816292,53.5795939924702
"111","Turnover ~ barrier * size * prosper * crop","barrier,size,prosper,crop",4,"full_interactions",0.0655497987630255,389.424885432075,0.0178836142395292,54.5917686291391
"26","Turnover ~ barrier + size","barrier,size",2,"additive",0.0660831637015687,383.602169227938,0.0184169791780724,48.7690524250015
"64","Turnover ~ barrier + length + size","barrier,length,size",3,"additive",0.0661856704829114,384.62615172091,0.0185194859594151,49.7930349179744
"25","Turnover ~ barrier * length","barrier,length",2,"full_interactions",0.0662449807162791,386.285836071786,0.0185787961927828,51.4527192688504
"24","Turnover ~ barrier + length","barrier,length",2,"additive",0.0662636409810518,385.147450511852,0.0185974564575555,50.3143337089161
"70","Turnover ~ barrier + size + prosper","barrier,size,prosper",3,"additive",0.0662944239673251,384.945819298362,0.0186282394438288,50.1127024954264
"4","Turnover ~ barrier","barrier",1,"additive",0.0663244999835727,385.369814244121,0.0186583154600765,50.536697441185
"5","Turnover ~ barrier","barrier",1,"full_interactions",0.0663244999835727,385.369814244121,0.0186583154600765,50.536697441185
"104","Turnover ~ barrier + length + size + prosper","barrier,length,size,prosper",4,"additive",0.0663727228046349,385.854841292271,0.0187065382811386,51.0217244893348
"6","Turnover ~ length","length",1,"additive",0.0664588106141307,383.864552528484,0.0187926260906344,49.0314357255481
"7","Turnover ~ length","length",1,"full_interactions",0.0664588106141307,383.864552528484,0.0187926260906344,49.0314357255481
"27","Turnover ~ barrier * size","barrier,size",2,"full_interactions",0.0664817659048681,385.603502857419,0.0188155813813718,50.7703860544831
"66","Turnover ~ barrier + length + prosper","barrier,length,prosper",3,"additive",0.0665078150943106,386.64575340638,0.0188416305708144,51.8126366034437
"34","Turnover ~ length + prosper","length,prosper",2,"additive",0.0665904250906449,385.149715716954,0.0189242405671486,50.3165989140177
"32","Turnover ~ length + size","length,size",2,"additive",0.0666039812462857,384.409777846571,0.0189377967227894,49.5766610436353
"28","Turnover ~ barrier + prosper","barrier,prosper",2,"additive",0.0666158933543367,387.06688071532,0.0189497088308404,52.2337639123842
"76","Turnover ~ length + size + prosper","length,size,prosper",3,"additive",0.0666664193482331,385.321222009472,0.0190002348247368,50.4881052065361
"1","Turnover ~ 1","(intercept only)",0,"intercept",0.066721234508906,384.883164544724,0.0190550499854098,50.0500477417875
"8","Turnover ~ size","size",1,"additive",0.0667400698141787,384.368883997812,0.0190738852906824,49.5357671948761
"9","Turnover ~ size","size",1,"full_interactions",0.0667400698141787,384.368883997812,0.0190738852906824,49.5357671948761
"38","Turnover ~ size + prosper","size,prosper",2,"additive",0.0668264162977713,385.376759936714,0.019160231774275,50.5436431337781
"35","Turnover ~ length * prosper","length,prosper",2,"full_interactions",0.0668966074998119,387.124994451331,0.0192304229763156,52.2918776483948
"10","Turnover ~ prosper","prosper",1,"additive",0.0669073106190649,386.366639638477,0.0192411260955686,51.5335228355412
"11","Turnover ~ prosper","prosper",1,"full_interactions",0.0669073106190649,386.366639638477,0.0192411260955686,51.5335228355412
"29","Turnover ~ barrier * prosper","barrier,prosper",2,"full_interactions",0.0669482506064763,388.608698516204,0.0192820660829801,53.7755817132675
"33","Turnover ~ length * size","length,size",2,"full_interactions",0.0669810120831741,386.617074777939,0.0193148275596779,51.7839579750032
"39","Turnover ~ size * prosper","size,prosper",2,"full_interactions",0.067254650194911,387.462405719617,0.0195884656714147,52.6292889166805
"71","Turnover ~ barrier * size * prosper","barrier,size,prosper",3,"full_interactions",0.0673724197001357,392.223610453908,0.0197062351766395,57.3904936509718
"65","Turnover ~ barrier * length * size","barrier,length,size",3,"full_interactions",0.067476603091579,391.580188964969,0.0198104185680827,56.7470721620334
"67","Turnover ~ barrier * length * prosper","barrier,length,prosper",3,"full_interactions",0.0676530368053339,393.094690965213,0.0199868522818376,58.2615741622765
"77","Turnover ~ length * size * prosper","length,size,prosper",3,"full_interactions",0.0677943735608846,393.646744031383,0.0201281890373883,58.813627228447
"127","Turnover ~ temp * barrier * length * size * prosper * crop","temp,barrier,length,size,prosper,crop",6,"full_interactions",0.0689603445494038,427.000791005708,0.0212941600259076,92.1676742027723
"105","Turnover ~ barrier * length * size * prosper","barrier,length,size,prosper",4,"full_interactions",0.0709247281493841,406.062967352254,0.0232585436258878,71.2298505493182
"125","Turnover ~ barrier * length * size * prosper * crop","barrier,length,size,prosper,crop",5,"full_interactions",0.0751235919011514,413.469775399016,0.0274574073776551,78.63665859608
