"","formula","predictors","n_predictors","model_type","loocv_score","AIC","delta_loocv","delta_AIC"
"213","pNat ~ temp * barrier * size * prosper * pisc","temp,barrier,size,prosper,pisc",5,"full_interactions",0.104795348923125,399.013155754498,0.0195473765963508,48.5215993636379
"233","pNat ~ barrier * length * size * crop * pisc","barrier,length,size,crop,pisc",5,"full_interactions",0.104909997128975,407.952651534548,0.0196620248022009,57.4610951436882
"169","pNat ~ barrier * length * size * prosper","barrier,length,size,prosper",4,"full_interactions",0.106549232355461,399.877369951324,0.021301260028687,49.3858135604644
"183","pNat ~ barrier * size * prosper * pisc","barrier,size,prosper,pisc",4,"full_interactions",0.106891880295457,404.565377942809,0.021643907968682,54.0738215519495
"241","pNat ~ temp * barrier * length * size * prosper * crop","temp,barrier,length,size,prosper,crop",6,"full_interactions",0.106941280208917,414.610213273735,0.0216933078821423,64.1186568828753
"191","pNat ~ length * size * prosper * pisc","length,size,prosper,pisc",4,"full_interactions",0.108165389663731,406.596780691518,0.0229174173369566,56.1052243006585
"239","pNat ~ length * size * prosper * crop * pisc","length,size,prosper,crop,pisc",5,"full_interactions",0.108333021291374,408.274997099287,0.0230850489645999,57.783440708427
"237","pNat ~ barrier * size * prosper * crop * pisc","barrier,size,prosper,crop,pisc",5,"full_interactions",0.109035362730428,406.758341490104,0.0237873904036532,56.2667850992448
"251","pNat ~ temp * length * size * prosper * crop * pisc","temp,length,size,prosper,crop,pisc",6,"full_interactions",0.111974532152528,420.651674330916,0.0267265598257536,70.1601179400564
"245","pNat ~ temp * barrier * length * size * crop * pisc","temp,barrier,length,size,crop,pisc",6,"full_interactions",0.112007767873879,425.180501893935,0.0267597955471044,74.6889455030753
"229","pNat ~ barrier * length * size * prosper * crop","barrier,length,size,prosper,crop",5,"full_interactions",0.11260763695204,407.498583983597,0.0273596646252651,57.0070275927374
"243","pNat ~ temp * barrier * length * size * prosper * pisc","temp,barrier,length,size,prosper,pisc",6,"full_interactions",0.119110903681776,435.28493780322,0.0338629313550015,84.7933814123608
"231","pNat ~ barrier * length * size * prosper * pisc","barrier,length,size,prosper,pisc",5,"full_interactions",0.119644359109213,428.433866209303,0.0343963867824388,77.9423098184429
"253","pNat ~ barrier * length * size * prosper * crop * pisc","barrier,length,size,prosper,crop,pisc",6,"full_interactions",0.145167793166748,448.552621621494,0.0599198208399731,98.0610652306341
"255","pNat ~ temp * barrier * length * size * prosper * crop * pisc","temp,barrier,length,size,prosper,crop,pisc",7,"full_interactions",0.15626198011913,490.352435455861,0.0710140077923553,139.860879065001
