rid,binaryID
1781,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110
1782,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101
1783,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011
1784,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111
1785,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111
1786,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111
1787,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111
1788,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111
1789,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111
1790,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111
1791,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111
1792,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111
1793,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111110
1794,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111101
1795,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111110111
1796,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111101111
1797,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111011111
1798,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111110111111
1799,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111101111111
1800,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111011111111
1801,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111110111111111
1802,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111101111111111
1803,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111011111111111
1804,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111110111111111111111
1805,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111110111111111111
1806,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111011111111111111
1807,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111101111111111111
1808,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111101111111111111111111
1809,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111110111111111111111111
1810,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111011111111111111111
1811,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111101111111111111111
1812,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111111
1813,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111111
1814,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111111
1815,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111111111
1816,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111111111
1817,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111111111
1818,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111111111111
1819,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111111111111
1820,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111111111111
1821,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111111111111111
1822,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111111111111111
1823,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111111111111111
1824,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111111111111111111
1825,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111
1826,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111111111111111111
1827,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111111111111111111111111111111111
1828,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111111111111111111111111111111111
1829,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111111111111111111111
1830,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111111111111111011
1831,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111111111111
1832,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111
1833,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111111
1834,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111
1835,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111
1836,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111101111111
1837,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111
1838,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111
1839,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111110111111111111111111
1840,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111011111111111111111111
1841,1111
1842,11111
1843,111
1844,111111
1845,11
1846,1111111111
1847,1111111111111
1848,1111111
1849,11111111
1850,111111111
1851,11111111111
1852,111111111111
1853,11111111111111111111111111111111
1854,11111111111111111111111111111111111
1855,111111111111111111111111111111111111
1856,1111111111111111111111111111111111111
1857,111111111111111111111111111111111111111
1858,11111111111111111111111111111111111111
1859,1111111111111111111111111111111111111111
1860,111111111111111111111111111111111111111110111001111
1861,1111111111111111111111111111111111111111101110011111
1862,111111111111111111111111111111111111111110111001111111
1863,11111111111111111111111111111111111111111011100111111
1864,1111111111111111111111111111111111111111101110011111110111
1865,111111111111111111111111111111111111111110111001111111011111
1866,11111111111111111111111111111111111111111011100111111101111
1867,11111111111111111111111111111111111111111011100111111101111111
1868,1111111111111111111111111111111111111111101110011111110111111
1869,111111111111111111111111111111111111111110111001111111011111111111
1870,111111111111111111111111111111111111111110111001111111011111111
1871,1111111111111111111111111111111111111111101110011111110111111111
1872,11111111111111111111111111111111111111111011100111111101111111111
1873,1111111111111111111111111111111111111111101110011111110111111111111
1874,11111111111111111111111111111111111111111011100111111101111111111111
1875,1111111111111111111111111111111111111111101110011111110111111111111111
1876,111111111111111111111111111111111111111110111001111111011111111111111
1877,11111111111111111111111111111111111111111011100111111101111111111111111
1878,111111111111111111111111111111111111111110111001111111011111111111111111
1879,11111111111111111111111111111111111111111011100111111101111111111111111111
1880,1111111111111111111111111111111111111111101110011111110111111111111111111
1881,111111111111111111111111111111111111111110111001111111011111111111111111111
1882,11111111111111111111111111111111111111111011100111111101111111111111111111111
1883,111111111111111111111111111111111111111110111001111111011111111111111111111111
1884,1111111111111111111111111111111111111111101110011111110111111111111111111111
1885,1111111111111111111111111111111111111111101110011111110111111111111111111111111
1886,11111111111111111111111111111111111111111011100111111101111111111111111111111111
1887,111111111111111111111111111111111111111110111001111111011111111111111111111111111111
1888,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111
1889,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111
1890,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111
1891,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111110
1892,11111111111111111111111111111111111111111011100111111101
1893,1111111111111111111111111111111111111111101110011111110
1894,11111111111111111111111111111111111111111
1895,111111111111111111111111111111111111111110111001111111011
1896,1111111111111111111111111111111111111111101110011
1897,11111111111111111111111111111111111111111011100111
1898,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111111
1899,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111111
1900,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111111
1901,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111111111
1902,111111111111111111111111111111111111111110111001111111011111111111111111111111111
1903,1111111111111111111111111111111111111111101110011111110111111111111111111111111111
1904,11111111111111111111111111111111111111111011100111111101111111111111111111111111111
1905,1111111111111111111111111111111111111111101110
1906,1111111111111111111111111111111111
1907,111111111111111111111111111111
1908,11111111111111111111111111111
1909,11111111111111111111111111
1910,111111111111111111111111
1911,111111111111111111111111111
1912,1111111111111111111111111
1913,1111111111111111111111111111
1914,1111111111111111111111111111111
1915,111111111111111111
1916,1111111111111111111
1917,11111111111111111111
1918,11111111111111111
1919,111111111111111
1920,11111111111111
1921,1111111111111111
1922,111111111111111111111111111111111
1923,111111111111111111111111111111111111111110
1924,111111111111111111111111111111111111111110111
1925,1111111111111111111111111111111111111111101
1926,11111111111111111111111111111111111111111011
1927,11111111111111111111111111111111111111111011100
1928,111111111111111111111111111111111111111110111001
1929,11111111111111111111111111111111111111111011100111111101111111111111111111111111111111111
1930,111111111111111111111111111111111111111110111001111111011111111111111111111111111111111111
1931,1111111111111111111111111111111111111111101110011111110111111111111111111111111111111111
1932,11111111111111111111111
1933,1111111111111111111111
1934,111111111111111111111
1935,11111111111111111111111111111111111111111011100111111111111111111111111111
1936,1111111111111111111111111111111111111111101110011111111111111111111111111
1937,1111111111111111111111111111111111111111101110011111111111111111111111111111
1938,11111111111111111111111111111111111111111011100111111111111111111111111111111
1939,1111111111111111111111111111111111111111101110011111111111111111111111111111111
1940,111111111111111111111111111111111111111110111001111111111111111111111111111111
1941,111111111111111111111111111111111111111110111001111111111111111111111111111111111
1942,11111111111111111111111111111111111111111011100111111111111111111111111111111111
1943,1111111111111111111111111111111111111111101110011111111111111111111111111111111111111
1944,11111111111111111111111111111111111111111011100111111111111111111111111111111111111
1945,1111111111111111111111111111111111111111101110011111111111111111111111111111111111
1946,111111111111111111111111111111111111111110111001111111111111111111111111111111111111
1947,111111111111111111111111111111111111111110111001111111111111111111111111111
1948,11111111111111111111111111111111111111111011101111
1949,1111111111111111111111111111111111111111101110111111
1950,11111111111111111111111111111111111111111011101111111
1951,111111111111111111111111111111111111111110111011111111
1952,111111111111111111111111111111111111111110111011111111111111111111
1953,1111111111111111111111111111111111111111101110111111111111111111111
1954,11111111111111111111111111111111111111111011101111111111111111111111
1955,111111111111111111111111111111111111111110111011111111111111111111111
1956,1111111111111111111111111111111111111111101110111111111111111111111111
1957,111111111111111111111111111111111111111110111011111111111111111111111111
1958,11111111111111111111111111111111111111111011101111111111111111111111111
1959,11111111111111111111111111111111111111111011101111111111111111111111111111
1960,1111111111111111111111111111111111111111101110111111111111111111111111111
1961,111111111111111111111111111111111111111110111011111111111111111111111111111
1962,1111111111111111111111111111111111111111101110111111111111111111111111111110
1963,111111111111111111111111111111111111111110111011111111111111111111111111111011
1964,11111111111111111111111111111111111111111011101111111111111111111111111111101
1965,1111111111111111111111111111111111111111101110111111111111111111111111111110111
1966,11111111111111111111111111111111111111111011101111111111111111111111111111101111
1967,111111111111111111111111111111111111111110111011111111111111111111111111111011111
1968,1111111111111111111111111111111111111111101110111111111111111111111111111110111111
1969,11111111111111111111111111111111111111111011101111111111111111111111111111101111111
1970,1111111111111111111111111111111111111111101110111111111111111111111111111110111111111
1971,111111111111111111111111111111111111111110111011111111111111111111111111111011111111
1972,11111111111111111111111111111111111111111011101111111111111111111111111111101111111111
1973,111111111111111111111111111111111111111110111011111111111111111111111111111011111111111
1974,1111111111111111111111111111111111111111101110111111111111111111111111111110111111111111
1975,11111111111111111111111111111111111111111011101111111111111111111111111111101111111111111
1976,111111111111111111111111111111111111111110111011111111111111111111111111111011111111111111
1977,11111111111111111111111111111111111111111011101111111111111111111111111111101111111111111111
1978,111111111111111111111111111111111111111110111011111111111111111111111111111011111111111111111
1979,1111111111111111111111111111111111111111101110111111111111111111111111111110111111111111111
1980,1111111111111111111111111111111111111111101110111111111111111111111111111110111111111111111111
1981,11111111111111111111111111111111111111111011101111111111111111111111111111101111111111111111111
1982,111111111111111111111111111111111111111110111011111111111111111111111111111011111111111111111111
1983,1111111111111111111111111111111111111111101110111111111111111111111111111110111111111111111111111
1984,11111111111111111111111111111111111111111011101111111111111111111111111111101111111111111111111111
1985,1111111111111111111111111111111111111111101110111111111111111111111111111110111111111111111111111111
1986,111111111111111111111111111111111111111110111011111111111111111111111111111011111111111111111111111
1987,11111111111111111111111111111111111111111011101111111111111111111111111111101111111111111111111111111
1988,111111111111111111111111111111111111111110111011111111111111111111111111111011111111111111111111111111
1989,1111111111111111111111111111111111111111101110111111111111111111111111111111
1990,11111111111111111111111111111111111111111011101111111111111111
1991,1111111111111111111111111111111111111111101110111111111111111
1992,111111111111111111111111111111111111111110111011111111111111
1993,111111111111111111111111111111111111111110111011111111111
1994,11111111111111111111111111111111111111111011101111111111111
1995,1111111111111111111111111111111111111111101110111111111111111111
1996,11111111111111111111111111111111111111111011101111111111111111111
1997,1111111111111111111111111111111111111111101110111111111
1998,111111111111111111111111111111111111111110111011
1999,11111111111111111111111111111111111111111011101
2000,1111111111111111111111111111111111111111101110111
2001,111111111111111111111111111111111111111110111011111
2002,11111111111111111111111111111111111111111011101111111111
2003,111111111111111111111111111111111111111110111011111111111111111
2004,1111111111111111111111111111111111111111101110111111111111
2005,111111111111111111111111111111111111111110111111111111111111111111111111111111111111111
2006,1111111111111111111111111111111111111111101111111111111111111111111111111111111111111111
2007,1111111111111111111111111111111111111111101111111111111111111111111111111111111111111
2008,11111111111111111111111111111111111111111011111111111111111111111111111111111111111111
2009,111111111111111111111111111111111111111110111111111111111111111111111111111111
2010,1111111111111111111111111111111111111111101111111111111111111111111111111111111
2011,11111111111111111111111111111111111111111011111111111111111111111111111111111111
