rid,binaryID
3615,11
3616,111
3617,11101
3618,1110
3619,111011
3620,1110111
3621,11101111
3622,111011111
3623,1110111111
3624,11101111111
3625,111011111111
3626,111011111111111
3627,1110111111111111
3628,11101111111111111
3629,111011111111111111
3630,1110111111111111111
3631,11101111111111111111
3632,111011111111111111111
3633,1110111111111111111111
3634,11101111111111111111111
3635,111011111111111111111111
3636,1110111111111111111111111
3637,11101111111111111111111111
3638,111011111111111111111111111
3639,1110111111111111111111111111
3640,11101111111111111111111111111
3641,111011111111111111111111111110
3642,1110111111111111111111111111101
3643,11101111111111111111111111111011
3644,1110111111111111111111111111111
3645,11101111111111111111111111111111
3646,1110111111111
3647,11101111111111
3648,111111
3649,1111111
3650,11111111
3651,111111111
3652,1111111111
3653,11111111111
3654,111111111111
3655,1111111111111
3656,11111111111111
3657,111111111111111
3658,1111111111111111
3659,11111111111111111
3660,111111111111111110
3661,111111111111111111
3662,1111111111111111111
3663,11111111111111111111
3664,111111111111111111111
3665,11111
3666,1111
10899,111011111111111111111111111111
3613,1
