"","Species","net","EarlyNum","LateNum","propChange","CommonName","SciName","a","b","lw_Source","Status","TrophicGuild","FeedingGuild","ReproductiveGuild","Thermal","SimpleThermal","HabitatGuild","Glacial","Notes","ExtirpOverThresh","ExtirpGeneral"
"33","PLSU",-24,64,40,0.625,"Plains Sucker","Pantosteus jordani",-4.633,3.015,"Ecklebecker et al. 2023","Native","H","B","LO","Cool","Cool","Lotic","E","",0.523076923076923,0.375
"34","PTMN",0,12,12,1,"Plains Topminnow","Fundulus sciadicus",-5.5659,3.326,"Schneider et al. 2000 for Blackstripe Topminnow","Mixed","IN","WC","PH","Warm","Warm","Lotic","L","",0.454545454545455,0
"35","RB",6,65,71,1.09230769230769,"Rainbow Trout","Oncorhynchus mykiss",-4.841,2.939,"Ecklebecker et al. 2023","Introduced","IC","G","BH","Cold-Cool","Cold","Lotic","","",0.255813953488372,-0.0923076923076922
"36","RCSU",9,42,51,1.21428571428571,"River Carpsucker","Carpiodes carpio",-5.134,3.102,"Ecklebecker et al. 2023","Native","O","B","PH","","Warm","General","L","",0.326086956521739,-0.214285714285714
"37","RDSH",6,9,15,1.66666666666667,"Red Shiner","Cyprinella lutrensis",NA,NA,"","Mixed","","","","","","","L","",0,-0.666666666666667
"38","RKB",-2,15,13,0.866666666666667,"Rock Bass","",NA,NA,"","Introduced","","","","","","","","",NA,0.133333333333333
"39","RMCT",3,15,18,1.2,"R.M. Cutthroat Trout","Oncorhynchus virginalis",-4.958,2.985,"Ecklebecker et al. 2023","Native","","","","","","","E","",0.25,-0.2
"40","RSSH",-3,49,46,0.938775510204082,"Redside Shiner","Richardsonius balteatus",-5.864,3.416,"Ecklebecker et al. 2023","Introduced","","","","","","","","",0.232558139534884,0.0612244897959183
"41","RTCH",-3,21,18,0.857142857142857,"Roundtail Chub","",NA,NA,"","Native","","","","","","","L","",NA,0.142857142857143
"42","SCAT",22,45,67,1.48888888888889,"Stonecat","Noturus flavus",-5.038,3.009,"Ecklebecker et al. 2023","Native","IC","B","CG","","","","E","",0.209677419354839,-0.488888888888889
"43","SDSH",14,82,96,1.17073170731707,"Sand Shiner","Miniellus stramineus",-5.03363,2.98913,"Used spottail shiner from Schneider","Native","O","G","LO","Cool-Warm","Warm","Lotic","L","",0.1375,-0.170731707317073
"44","SGR",2,16,18,1.125,"Sauger","Sander canadensis",-5.606,3.195,"Ecklebecker et al. 2023","Native","IC","G","LP","","","","E","",0.266666666666667,-0.125
"45","SHRH",12,50,62,1.24,"Shorthead Redhorse","Moxostoma macrolepidotum",-4.964,2.999,"Ecklebecker et al. 2023","Native","IN","B","LO","","Warm","Lotic","E","",0.314814814814815,-0.24
"46","SMB",28,10,38,3.8,"Smallmouth Bass","Micropterus dolomieu",-5.302,3.192,"Ecklebecker et al. 2023","Introduced","IC","G","GU","","","","","",NA,-2.8
"47","SMBUF",6,4,10,2.5,"Smallmouth Buffalo","Ictiobus bubalus",-4.621,2.933,"Ecklebecker et al. 2023","Native","O","B","PH","","","","L","",NA,-1.5
"48","SPDC",-19,69,50,0.72463768115942,"Speckled Dace","",NA,NA,"","Native","","","","","","","E","",NA,0.27536231884058
"49","STCH",-3,12,9,0.75,"Sturgeon Chub","Macrhybopisis gelida",NA,NA,"","Native","","","","","","","L","",0.2,0.25
"50","STR",10,21,31,1.47619047619048,"Central Stoneroller","Campostoma anomalum",-5.2702,3.17,"Schneider et al. says to use Hornyhead Chub","Native","H","B","LO","Cool-Warm","Warm","Lotic","L","",NA,-0.476190476190476
"51","WE",8,11,19,1.72727272727273,"Walleye","Sander vitreus",-5.688,3.249,"Ecklebecker et al. 2023","Introduced","IC","G","LP","","","","","",NA,-0.727272727272727
"52","WSMN",7,12,19,1.58333333333333,"Western Silvery Minnow","Hybognathus argyritis",-5,3,"","Native","H","B","PB","","","","E","",0.428571428571429,-0.583333333333333
"53","WSU",-12,274,262,0.956204379562044,"White Sucker","Catostomus commersonii",-5.243,3.123,"Ecklebecker et al. 2023","Native","O","B","LO","Cool","Cool","Lotic","E","",0.209125475285171,0.0437956204379562
"54","YP",2,12,14,1.16666666666667,"Yellow Perch","Perca flavescens",-5.507,3.268,"Ecklebecker et al. 2023","Introduced","IC","WC","PH","","","","","",NA,-0.166666666666667
